bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
turnover,2024-01-04,31,2024-01-04 14:10:00,2024-01-04 14:16:00,3340.66,3344.02,3337.83,3337.83,230597000.0,3818033600.0,7,False
turnover,2024-01-04,32,2024-01-04 14:17:00,2024-01-04 14:24:00,3338.52,3343.29,3338.52,3342.01,295499800.0,4189374600.0,8,False
turnover,2024-01-04,33,2024-01-04 14:25:00,2024-01-04 14:31:00,3341.98,3341.98,3339.24,3339.24,268746500.0,3986440900.0,7,False
turnover,2024-01-04,34,2024-01-04 14:32:00,2024-01-04 14:37:00,3341.65,3347.07,3341.65,3346.94,275409100.0,4016160200.0,6,False
turnover,2024-01-04,35,2024-01-04 14:38:00,2024-01-04 14:43:00,3350.49,3350.49,3346.51,3347.86,281201200.0,4175914700.0,6,False
turnover,2024-01-04,36,2024-01-04 14:44:00,2024-01-04 14:48:00,3348.43,3348.93,3348.37,3348.7,274855700.0,4071926600.0,5,False
turnover,2024-01-04,37,2024-01-04 14:49:00,2024-01-04 14:53:00,3348.69,3350.62,3348.69,3349.29,313755700.0,4484586300.0,5,False
turnover,2024-01-04,38,2024-01-04 14:54:00,2024-01-04 15:00:00,3349.02,3349.18,3347.05,3347.05,356242000.0,5268385400.0,7,False
turnover,2024-01-05,0,2024-01-05 09:30:00,2024-01-05 09:31:00,3336.07,3336.62,3336.07,3336.62,340457000.0,5142710300.0,2,False
turnover,2024-01-05,1,2024-01-05 09:32:00,2024-01-05 09:34:00,3345.15,3352.34,3345.15,3352.34,359382600.0,5394528700.0,3,False
turnover,2024-01-05,2,2024-01-05 09:35:00,2024-01-05 09:37:00,3354.53,3356.64,3352.77,3356.64,278333700.0,4992847000.0,3,False
turnover,2024-01-05,3,2024-01-05 09:38:00,2024-01-05 09:39:00,3358.78,3358.78,3357.89,3357.89,232446300.0,3845008400.0,2,False
turnover,2024-01-05,4,2024-01-05 09:40:00,2024-01-05 09:42:00,3356.17,3356.17,3352.35,3352.61,287973200.0,4720746900.0,3,False
turnover,2024-01-05,5,2024-01-05 09:43:00,2024-01-05 09:45:00,3357.31,3360.57,3357.31,3360.57,252511200.0,4502584400.0,3,False
turnover,2024-01-05,6,2024-01-05 09:46:00,2024-01-05 09:48:00,3358.99,3361.66,3358.99,3361.0,219913800.0,3983144900.0,3,False
turnover,2024-01-05,7,2024-01-05 09:49:00,2024-01-05 09:52:00,3356.67,3357.03,3352.9,3352.9,248619600.0,4409010400.0,4,False
turnover,2024-01-05,8,2024-01-05 09:53:00,2024-01-05 09:57:00,3355.63,3355.63,3353.19,3355.19,374425000.0,4896901500.0,5,False
turnover,2024-01-05,9,2024-01-05 09:58:00,2024-01-05 10:02:00,3356.29,3358.73,3354.92,3355.09,339908800.0,4661187400.0,5,False
turnover,2024-01-05,10,2024-01-05 10:03:00,2024-01-05 10:07:00,3354.65,3358.22,3354.65,3356.16,367517900.0,4324668700.0,5,False
turnover,2024-01-05,11,2024-01-05 10:08:00,2024-01-05 10:12:00,3352.89,3354.3,3352.62,3354.3,290877700.0,4157255900.0,5,False
turnover,2024-01-05,12,2024-01-05 10:13:00,2024-01-05 10:17:00,3351.36,3351.36,3349.32,3349.32,276180800.0,3961435100.0,5,False
turnover,2024-01-05,13,2024-01-05 10:18:00,2024-01-05 10:22:00,3349.51,3352.5,3349.51,3352.33,316815200.0,3866933000.0,5,False
turnover,2024-01-05,14,2024-01-05 10:23:00,2024-01-05 10:25:00,3355.92,3365.99,3355.92,3365.99,425101900.0,4390236100.0,3,False
turnover,2024-01-05,15,2024-01-05 10:26:00,2024-01-05 10:28:00,3369.91,3370.94,3365.27,3365.27,348364000.0,4155254700.0,3,False
turnover,2024-01-05,16,2024-01-05 10:29:00,2024-01-05 10:33:00,3366.32,3368.43,3365.28,3365.72,343772900.0,4553143600.0,5,False
turnover,2024-01-05,17,2024-01-05 10:34:00,2024-01-05 10:39:00,3364.88,3364.88,3359.5,3361.63,296739400.0,4130389700.0,6,False
turnover,2024-01-05,18,2024-01-05 10:40:00,2024-01-05 10:46:00,3363.04,3363.04,3356.82,3358.39,260955900.0,3925769700.0,7,False
turnover,2024-01-05,19,2024-01-05 10:47:00,2024-01-05 10:52:00,3361.03,3362.89,3360.25,3362.3,343465100.0,4130374700.0,6,False
turnover,2024-01-05,20,2024-01-05 10:53:00,2024-01-05 10:59:00,3364.71,3365.82,3361.24,3361.24,377623100.0,4355787000.0,7,False
turnover,2024-01-05,21,2024-01-05 11:00:00,2024-01-05 11:06:00,3360.6,3362.93,3359.44,3360.59,291115400.0,3839076200.0,7,False
turnover,2024-01-05,22,2024-01-05 11:07:00,2024-01-05 11:14:00,3360.28,3360.28,3355.52,3355.58,285614500.0,4058638100.0,8,False
turnover,2024-01-05,23,2024-01-05 11:15:00,2024-01-05 11:25:00,3356.61,3358.06,3355.79,3355.79,288239000.0,3957222300.0,11,False
turnover,2024-01-05,24,2024-01-05 11:26:00,2024-01-05 13:02:00,3354.13,3354.13,3351.69,3352.36,297142400.0,3893715300.0,8,False
turnover,2024-01-05,25,2024-01-05 13:03:00,2024-01-05 13:11:00,3351.37,3351.52,3350.31,3351.24,242628200.0,3964923200.0,9,False
turnover,2024-01-05,26,2024-01-05 13:12:00,2024-01-05 13:19:00,3350.33,3354.34,3350.16,3351.64,272645000.0,3815022000.0,8,False
turnover,2024-01-05,27,2024-01-05 13:20:00,2024-01-05 13:28:00,3350.87,3350.87,3347.52,3347.52,261088500.0,4089515700.0,9,False
turnover,2024-01-05,28,2024-01-05 13:29:00,2024-01-05 13:36:00,3348.13,3351.46,3348.13,3351.28,255869900.0,3901459300.0,8,False
turnover,2024-01-05,29,2024-01-05 13:37:00,2024-01-05 13:44:00,3349.8,3349.8,3344.37,3344.37,256852500.0,3981914700.0,8,False
turnover,2024-01-05,30,2024-01-05 13:45:00,2024-01-05 13:52:00,3342.39,3342.99,3341.13,3341.13,268828200.0,4289401600.0,8,False
turnover,2024-01-05,31,2024-01-05 13:53:00,2024-01-05 13:58:00,3337.88,3338.42,3334.58,3334.58,312478400.0,3986760900.0,6,False
turnover,2024-01-05,32,2024-01-05 13:59:00,2024-01-05 14:04:00,3334.65,3341.83,3334.65,3339.45,279782200.0,4053167000.0,6,False
turnover,2024-01-05,33,2024-01-05 14:05:00,2024-01-05 14:13:00,3337.32,3337.32,3334.93,3336.43,269045300.0,4138157100.0,9,False
turnover,2024-01-05,34,2024-01-05 14:14:00,2024-01-05 14:20:00,3333.99,3333.99,3330.2,3330.2,271541600.0,4305419400.0,7,False
turnover,2024-01-05,35,2024-01-05 14:21:00,2024-01-05 14:25:00,3329.95,3330.55,3326.21,3326.21,253021300.0,3812773000.0,5,False
turnover,2024-01-05,36,2024-01-05 14:26:00,2024-01-05 14:30:00,3326.01,3327.73,3324.61,3324.78,261887600.0,3896508900.0,5,False
turnover,2024-01-05,37,2024-01-05 14:31:00,2024-01-05 14:35:00,3324.24,3326.51,3322.72,3323.05,269140200.0,3966863900.0,5,False
